Datetime,Happiness,Motivation,Flexibility,Strength,Endurance,Relationships
1/12/2014,4,5,1,1,1,3
1/13/2014,5,6,1,1,2,4
1/14/2014,4,6,2,3,2,3
1/15/2014,5,6,2,2,2,4
1/16/2014,6,7,3,3,4,5
1/17/2014,6,8,1,1,1,6
1/18/2014,6,6,1,1,3,5
1/19/2014,5,5,5,5,5,5
1/20/2014,8,8,2,1,3,5
1/21/2014,6,6,2,2,2,3
1/22/2014,6,6,2,2,4,2
1/23/2014,5,6,2,4,6,1
1/24/2014,5,8,5,5,7,3
1/25/2014,4,6,3,3,4,3
1/26/2014,5,6,3,2,3,3
1/27/2014,6,7,5,5,5,5
1/28/2014,6,7,2,2,2,7
1/29/2014,6,7,2,2,1,5
1/30/2014,6,7,2,4,1,6
1/31/2014,5,6,2,2,2,6
2/1/2014,7,8,1,1,1,7
2/2/2014,6,7,1,1,2,6
2/3/2014,6,8,1,1,2,8
2/4/2014,4,5,2,2,2,5
2/5/2014,5,7,2,5,4,5
2/6/2014,5,6,2,3,2,5
2/7/2014,6,6,3,5,4,5
2/8/2014,6,7,2,2,2,7
2/9/2014,8,7,2,2,2,8
2/10/2014,4,4,1,1,1,5
2/11/2014,7,7,3,5,2,4
2/12/2014,5,7,4,4,3,3
2/13/2014,5,9,4,7,5,5
2/14/2014,5,7,3,2,2,6
2/15/2014,7,9,5,8,4,7
2/16/2014,4,5,3,2,3,4
2/17/2014,3,8,3,2,3,4
2/18/2014,3,3,5,6,2,4
2/19/2014,3,4,2,4,4,5
2/20/2014,4,4,2,2,3,5
2/21/2014,7,6,2,7,4,3
2/22/2014,5,5,3,3,4,5
2/23/2014,3,5,2,2,2,5
2/24/2014,5,3,2,5,4,7
2/25/2014,7,9,3,4,2,7
2/26/2014,6,7,2,3,2,6
2/27/2014,7,7,2,3,1,5
2/28/2014,7,7,2,3,1,6
3/1/2014,4,5,2,1,2,5
3/2/2014,7,7,4,6,4,7
3/3/2014,4,7,1,2,2,5
3/4/2014,3,4,3,5,4,4
3/5/2014,5,5,3,4,3,5
3/6/2014,4,7,2,3,5,5
3/7/2014,3,6,2,2,3,5
3/8/2014,7,7,4,8,5,4
3/9/2014,6,7,1,3,2,8
3/10/2014,3,5,3,2,5,5
3/11/2014,6,7,3,6,4,6
3/12/2014,6,5,3,4,3,6
3/13/2014,4,7,6,6,5,3
3/14/2014,6,6,3,3,7,1
3/15/2014,7,8,4,7,4,3
3/16/2014,7,7,3,4,5,8
3/17/2014,7,9,2,6,5,7
3/18/2014,4,6,3,5,8,4
3/19/2014,9,9,5,9,5,9
3/20/2014,7,6,2,3,2,5
3/21/2014,8,7,3,2,7,5
3/22/2014,6,6,4,6,5,4
3/23/2014,7,6,3,3,3,7
3/24/2014,7,8,5,8,5,7
3/25/2014,4,8,3,7,3,7
3/26/2014,2,2,3,2,3,3
3/27/2014,6,7,3,7,3,4
3/28/2014,5,7,2,7,2,5
3/29/2014,5,5,5,5,5,5
3/30/2014,8,8,6,8,5,8
3/31/2014,6,6,3,3,3,5
4/1/2014,2,3,2,1,1,2
4/2/2014,7,6,3,3,7,3
4/3/2014,5,5,4,8,6,3
4/4/2014,7,8,3,5,5,7
4/5/2014,5,5,3,4,6,7
4/6/2014,5,5,5,7,4,5
4/7/2014,3,5,4,5,3,5
4/8/2014,5,5,3,3,6,5
4/9/2014,5,8,6,8,4,7
4/10/2014,5,7,2,4,3,5
4/11/2014,5,8,5,7,5,4
4/12/2014,7,7,2,4,4,8
4/13/2014,8,8,5,9,7,8
4/14/2014,5,9,3,5,3,8
4/15/2014,7,9,3,4,3,8
4/16/2014,7,8,6,8,5,8
4/17/2014,8,9,2,3,3,8
4/18/2014,7,9,2,3,3,8
4/19/2014,5,8,3,2,5,8
4/20/2014,7,9,5,4,6,9
4/21/2014,8,8,4,8,5,7
4/22/2014,6,8,3,4,2,8
4/23/2014,5,7,3,3,2,8
4/24/2014,6,6,1,2,1,8
4/25/2014,5,5,5,8,5,5
4/26/2014,5,5,2,3,5,5
4/27/2014,5,5,2,3,5,5
4/28/2014,3,3,2,3,2,4
4/29/2014,5,5,5,5,5,5
4/30/2014,5,5,5,5,5,5
5/1/2014,5,5,5,5,5,5
5/2/2014,5,5,5,5,5,5
5/3/2014,8,7,4,7,4,8
5/4/2014,3,7,3,3,3,4
5/5/2014,4,6,3,4,3,6
5/6/2014,7,7,5,6,8,5
5/7/2014,7,8,5,10,7,9
5/8/2014,7,6,5,4,3,8
5/9/2014,7,7,3,4,4,8
5/10/2014,8,7,4,6,5,9
5/11/2014,8,6,3,3,3,9
5/12/2014,8,6,3,3,3,9
5/13/2014,7,8,3,4,7,9
5/14/2014,6,5,3,3,3,9
5/15/2014,9,10,6,7,5,9
5/16/2014,9,8,4,4,4,9
5/17/2014,6,8,3,3,3,5
5/18/2014,8,9,5,5,5,9
5/19/2014,7,5,5,4,4,8
5/20/2014,8,8,6,6,6,8
5/21/2014,7,7,6,7,6,8
5/22/2014,7,8,6,7,6,8
5/23/2014,8,7,6,9,7,8
5/24/2014,5,7,2,2,2,5
5/25/2014,7,8,5,4,4,8
5/26/2014,8,8,3,3,3,9
5/27/2014,7,9,3,6,3,8
5/28/2014,9,9,2,2,5,8
5/29/2014,9,9,7,8,6,9
5/30/2014,8,8,5,7,4,8
5/31/2014,8,9,4,8,5,9
6/1/2014,9,9,4,7,6,10
6/2/2014,10,9,7,8,8,9
6/3/2014,9,9,6,7,9,8
6/4/2014,8,9,5,4,6,8
6/5/2014,9,9,6,9,6,9
6/6/2014,8,6,2,4,5,8
6/7/2014,8,7,4,3,3,8
6/8/2014,9,8,3,7,3,8
6/9/2014,3,5,2,2,2,8
6/10/2014,7,7,2,2,2,7
6/11/2014,7,8,2,2,2,7
6/12/2014,8,8,3,2,2,6
6/13/2014,7,8,2,2,2,8
6/14/2014,8,8,2,2,6,9
6/15/2014,8,8,4,6,8,8
6/16/2014,7,8,3,3,4,8
6/17/2014,7,8,4,4,4,8
6/18/2014,8,8,6,9,7,7
6/19/2014,6,6,4,5,3,5
6/20/2014,7,6,3,3,5,8
6/21/2014,8,8,3,3,5,8
6/22/2014,8,8,5,5,5,8
6/23/2014,8,9,7,9,7,9
6/24/2014,8,9,4,6,5,9
6/25/2014,9,9,4,5,3,8
6/26/2014,8,9,2,3,3,7
6/27/2014,8,9,4,4,4,8
6/28/2014,7,8,3,2,4,8
6/29/2014,8,9,3,3,4,9
6/30/2014,8,8,2,4,2,7
7/1/2014,6,8,2,2,2,8
7/2/2014,8,8,5,6,5,8
7/3/2014,7,4,5,8,5,5
7/4/2014,7,8,6,9,6,7
7/5/2014,7,6,5,5,5,7
7/6/2014,9,8,5,5,7,9
7/7/2014,6,7,3,3,2,6
7/8/2014,2,8,6,9,6,6
7/9/2014,7,8,5,4,9,7
7/10/2014,7,8,2,4,3,7
7/11/2014,5,6,3,3,3,4
7/12/2014,7,7,5,4,7,6
7/13/2014,8,9,5,8,5,8
7/14/2014,5,5,5,5,5,5
7/15/2014,8,8,4,7,6,7
7/16/2014,9,8,3,5,3,8
7/17/2014,9,9,4,5,8,7
7/18/2014,7,8,4,4,7,7
7/19/2014,8,9,3,6,9,8
7/20/2014,7,8,4,3,4,4
7/21/2014,7,9,2,3,3,7
7/22/2014,8,8,5,8,6,8
7/23/2014,7,7,3,5,4,6
7/24/2014,6,8,3,5,6,6
7/25/2014,5,8,3,4,3,5
7/26/2014,7,5,4,4,5,8
